Date,Price,Open,High,Low,Vol.,Change%
04/22/2004,114.25,112.48,114.67,112.44,62.15M,1.40%
04/21/2004,112.67,112.2,112.95,111.87,50.30M,0.67%
04/20/2004,111.92,114.08,114.32,111.78,53.36M,-1.68%
04/19/2004,113.83,113.57,113.99,113.27,28.28M,0.00%
04/16/2004,113.83,113.36,114.05,112.98,47.06M,0.77%
04/15/2004,112.96,113.45,113.78,112.36,61.63M,-0.38%
04/14/2004,113.39,112.61,113.64,112.55,62.34M,0.16%
04/13/2004,113.21,115.26,115.3,113.02,56.24M,-1.40%
04/12/2004,114.82,114.58,115.08,114.57,23.10M,0.39%
04/08/2004,114.37,115.41,115.41,113.74,46.94M,-0.23%
04/07/2004,114.63,114.98,114.98,114.11,45.90M,-0.23%
04/06/2004,114.9,114.83,115.18,114.62,28.49M,-0.32%
04/05/2004,115.27,114.46,115.38,114.44,30.28M,0.55%
04/02/2004,114.64,114.81,114.84,113.9,51.00M,0.76%
04/01/2004,113.78,113.07,113.87,113.05,45.14M,0.60%
03/31/2004,113.1,112.99,113.4,112.38,48.60M,0.12%
03/30/2004,112.97,112.3,113.07,112.22,39.06M,0.34%
03/29/2004,112.59,111.63,112.74,111.58,44.12M,1.41%
03/26/2004,111.03,110.95,111.79,110.8,37.41M,0.03%
03/25/2004,111.0,110.08,111.3,109.79,50.00M,1.32%
03/24/2004,109.55,109.58,110.14,108.85,51.60M,0.08%
03/23/2004,109.46,110.25,110.4,109.36,54.12M,-0.17%
03/22/2004,109.65,110.54,110.57,109.1,62.76M,-1.27%
03/19/2004,111.06,112.41,112.57,111.04,48.65M,-1.78%
03/18/2004,113.07,112.71,113.27,111.93,60.03M,0.03%
03/17/2004,113.04,112.18,113.26,112.1,41.89M,1.12%
03/16/2004,111.79,111.78,112.06,110.84,60.11M,0.53%
03/15/2004,111.2,112.27,112.35,110.9,57.70M,-1.23%
03/12/2004,112.58,111.73,112.71,111.58,54.03M,1.31%
03/11/2004,111.12,112.4,113.27,111.1,89.45M,-1.30%
03/10/2004,112.58,114.72,114.77,112.56,67.81M,-1.68%
03/09/2004,114.5,115.1,115.21,114.24,39.75M,-0.40%
03/08/2004,114.96,116.34,116.62,114.91,39.29M,-1.22%
03/05/2004,116.38,115.42,116.95,115.28,55.92M,0.34%
03/04/2004,115.99,115.72,116.1,115.52,21.08M,0.26%
03/03/2004,115.69,115.25,115.87,114.92,31.36M,0.18%
03/02/2004,115.48,115.94,116.97,115.23,38.61M,-0.59%
03/01/2004,116.16,115.43,116.34,115.25,33.20M,0.99%
02/27/2004,115.02,115.19,115.74,114.63,39.28M,0.07%
02/26/2004,114.94,114.61,115.29,114.34,29.69M,0.06%
02/25/2004,114.87,114.46,115.06,114.32,31.23M,0.42%
02/24/2004,114.39,114.27,114.99,113.03,43.96M,-0.17%
02/23/2004,114.59,115.22,115.26,114.17,36.37M,-0.25%
02/20/2004,114.88,115.48,115.56,114.32,46.73M,-0.30%
02/19/2004,115.23,116.33,116.39,115.06,51.18M,-0.37%
02/18/2004,115.66,116.2,116.6,115.35,28.66M,-0.44%
02/17/2004,116.17,115.85,116.43,115.77,23.99M,0.90%
02/13/2004,115.13,115.82,116.2,114.75,44.74M,-0.45%
02/12/2004,115.65,115.98,116.27,115.58,27.83M,-0.36%
02/11/2004,116.07,114.8,116.39,114.66,42.98M,1.06%
02/10/2004,114.85,114.28,115.14,114.26,27.93M,0.32%
02/09/2004,114.48,114.67,114.87,114.29,24.86M,0.03%
02/06/2004,114.45,113.42,114.7,113.2,37.24M,1.12%
02/05/2004,113.18,113.08,113.54,112.78,36.00M,0.29%
02/04/2004,112.85,113.19,113.73,112.79,39.63M,-0.82%
02/03/2004,113.78,113.74,114.14,113.44,25.16M,-0.17%
02/02/2004,113.97,113.7,114.68,113.12,38.85M,0.43%
